Date,NDVI_FishIsland,NDVI_Footprint,NDVI_FishIsland_Daily
3-Mar-10,-0.109,,-0.039
4-Mar-10,-0.107,,-0.044
5-Mar-10,-0.078,,-0.043
6-Mar-10,-0.036,-0.086,-0.021
7-Mar-10,-0.036,-0.084,-0.065
8-Mar-10,-0.039,-0.083,-0.036
9-Mar-10,-0.038,-0.071,-0.062
10-Mar-10,-0.038,-0.07,-0.049
11-Mar-10,-0.039,-0.068,-0.028
12-Mar-10,-0.041,-0.065,-0.049
13-Mar-10,-0.039,-0.063,-0.024
14-Mar-10,-0.039,-0.061,-0.031
15-Mar-10,-0.039,-0.058,-0.032
16-Mar-10,-0.039,-0.057,-0.027
17-Mar-10,-0.039,-0.056,-0.033
18-Mar-10,-0.039,-0.055,-0.026
19-Mar-10,-0.039,-0.053,-0.032
20-Mar-10,-0.039,-0.053,-0.03
21-Mar-10,-0.04,-0.053,-0.034
22-Mar-10,-0.04,-0.051,-0.03
23-Mar-10,-0.041,-0.05,-0.009
24-Mar-10,-0.039,-0.049,-0.032
25-Mar-10,-0.04,-0.05,-0.035
26-Mar-10,-0.039,-0.05,-0.025
27-Mar-10,-0.041,-0.05,-0.052
